template_id,purpose,trigger,required_fields,prohibited_sensitive_content,localization_readiness,delivery_tracking,retry_behavior,owning_service,release_stage,notes
EMAIL-0001,Email verification,User registers or updates email,email,Do not include broker credentials or secrets,Planned,Yes,Retry with exponential backoff,Auth service,Stage 5 -- Initial Commercial Release,Required verification email.
EMAIL-0002,Password reset,User requests password reset,email,Do not include reset tokens in logs,Planned,Yes,One retry,Auth service,Stage 5 -- Initial Commercial Release,Secure password reset flow.
EMAIL-0003,New-device login,New device detected during sign-in,email,Do not include device secrets,Planned,Yes,Once daily retry,Security service,Stage 5 -- Initial Commercial Release,Device location alert.
EMAIL-0004,Security alert,Suspicious activity detected,alert details,Do not include secret tokens,Planned,Yes,Retry until delivered or expiry,Security service,Stage 5 -- Initial Commercial Release,Security incident notification.
EMAIL-0005,MFA recovery,MFA recovery requested,account identifier,Do not include recovery secrets,Planned,Yes,Single delivery,Security service,Stage 5 -- Initial Commercial Release,Separate MFA recovery flow.
EMAIL-0006,Subscription confirmation,Subscription created,user details,Do not include billing credentials,Planned,Yes,Retry until sent,Billing service,Stage 5 -- Initial Commercial Release,Subscription confirmation email.
EMAIL-0007,Payment receipt,Successful payment processed,payment amount and invoice ID,Do not include card numbers,Planned,Yes,Retry until sent,Billing service,Stage 5 -- Initial Commercial Release,Payment receipt for customer accounting.
EMAIL-0008,Failed payment,Payment failure detected,account and retry info,Do not include card numbers,Planned,Yes,Retry with backoff,Billing service,Stage 5 -- Initial Commercial Release,Payment failure notification.
EMAIL-0009,Trial ending,Trial period ending soon,user account and trial dates,Do not include financial account details,Planned,Yes,Retry once,Billing service,Stage 5 -- Initial Commercial Release,Trial expiration reminder.
EMAIL-0010,Cancellation confirmation,Subscription cancelled,user account,Do not include financial credentials,Planned,Yes,Retry once,Billing service,Stage 5 -- Initial Commercial Release,Cancellation confirmation email.
EMAIL-0011,Grace period started,Customer enters payment grace period,account status,Do not include billing credentials,Planned,Yes,Retry once,Billing service,Stage 5 -- Initial Commercial Release,Grace period start notification.
EMAIL-0012,Grace period ending,Payment grace period nearing end,account and due date,Do not include billing credentials,Planned,Yes,Retry once,Billing service,Stage 5 -- Initial Commercial Release,Grace period expiration warning.
EMAIL-0013,Support-case update,Customer support ticket updated,ticket summary,Do not include credential data,Planned,Yes,Retry once,Support service,Stage 5 -- Initial Commercial Release,Support ticket change notification.
EMAIL-0014,Policy update notice,Terms or privacy policy updated,summary and effective date,Do not include secret details,Planned,Yes,One delivery,Legal service,Stage 5 -- Initial Commercial Release,Customer policy change notice.
EMAIL-0015,Broker disconnected,Broker link is lost,broker connection status,Do not include broker secrets,Planned,Yes,One delivery,Integration service,Stage 5 -- Initial Commercial Release,Broker disconnection alert.
EMAIL-0016,Data export ready,Customer data export is prepared,export details,Do not include exported secrets,Planned,Yes,One delivery,Privacy service,Stage 5 -- Initial Commercial Release,Data export completion notification.
EMAIL-0017,Account deletion confirmation,Customer deletes account,account identifier,Do not include retained secrets,Planned,Yes,One delivery,Privacy service,Stage 5 -- Initial Commercial Release,Account deletion confirmation.
EMAIL-0018,Automation halted,Automation halts due to a safety or infrastructure condition,automation event;reason,Do not include system secrets or customer credentials,Planned,Yes,Immediate retry if safe or manual follow-up,Operations service,Stage 5 -- Initial Commercial Release,Automation halted notification with follow-up instructions.
EMAIL-0019,Critical incident,Critical incident requiring customer or operations attention,incident summary;recommended action,Do not include sensitive customer data or credentials,Planned,Yes,Escalate until delivery confirmed,Operations service,Stage 5 -- Initial Commercial Release,Critical incident notification with escalation guidance.
