stage_id,stage_name,purpose,required_features_summary,excluded_features_summary,entry_criteria,exit_criteria,dependencies,primary_platforms,primary_editions,major_risks,estimated_duration_range,confidence_level
Stage 0,Codex and Architecture,"Establish the documentation/architecture foundation (DS-001-014 Core Codex, now DS-015-023 expansion foundation).",Complete Features System governance; DS-015-023 skeletons.,No product code required at this stage.,Core Codex (DS-001-014) approved and independently verified.,Expansion foundation (this pass) internally consistent and reviewed.,Core Codex baseline (commit 1e48041).,N/A,N/A,Documentation drift/inconsistency if governance is weak.,1-2 months remaining for expansion documentation,Medium
Stage 1,Local Technical Foundation,"Build the deterministic core (market data, indicators, backtesting, database, scanner) on Windows desktop.","Market data ingestion; indicator engine; backtesting engine; database; scanner; deterministic execution authority. Founder Sage Developer Mode groundwork (FEAT-0268, Founder-only, private).","No cloud, no multi-user, no mobile/web.",Stage 0 documentation foundation exists.,"Core backend modules implemented and tested (evidence: tests/test_market_data_*, tests/test_indicator_*, tests/test_backtest_*, tests/test_scanner*, tests/test_database.py).",Stage 0.,Windows,Founder,Underestimating provider-abstraction groundwork needed for later cloud migration.,2-4 months,Medium
Stage 2,Usable Paper-Trading Alpha,"A usable, Founder-facing paper-trading alpha: proposals, risk validation, basic charts, journaling groundwork.",Trade proposal generation; deterministic risk engine; portfolio tracking; basic charting; paper trading.,"No live trading, no customer accounts.",Stage 1 backend foundation complete.,Founder can run a full propose-validate-paper-execute-journal loop.,Stage 1.,Windows,Founder,Scope creep into premature UI polish before the core loop is proven.,approximately 6-10 months total from current date,Medium
Stage 3,Founder Workstation Beta,"Daily Founder use of the full local workstation, including Founder Local Sage and Founder-only research tooling.",Founder Local Sage; saved chart layouts; versioned strategies/indicators; Founder-only Python research extensions. Usable private Founder Sage Developer Mode (FEAT-0268).,No customer-facing surfaces yet.,Stage 2 paper-trading alpha proven.,Founder relies on DarkSage for real daily research/trading workflow.,Stage 2.,Windows,Founder,Founder-only assets not yet structurally isolated from a future customer build.,approximately 10-16 months total,Low
Stage 4,Customer Cloud Beta,"First customer-facing beta: cloud Sage, web dashboard, mobile companion apps, subscriptions in beta.",Customer Cloud Sage; web account/dashboard; iOS/Android companion apps (beta); device trust/MFA; subscription billing (beta); grace mode; incident/recovery center (beta).,"No public marketplace, no institutional routing.",Stage 3 Founder Workstation proven daily-usable; edition boundary mechanism implemented.,A cohort of beta customers completes the full onboarding-to-paper-trading loop in the cloud.,Stage 3; DS-015 edition boundary; DS-017 local/cloud architecture.,Web;iOS;Android,Customer,Cloud Sage cost exposure; synchronization/conflict-resolution defects.,approximately 14-22 months total,Low
Stage 5,Initial Commercial Release,General-availability commercial launch per the explicit Initial Release Boundary.,See docs/features/DARKSAGE_COMPLETE_FEATURES.md Initial Release Boundary section (initial_release_required=Yes features).,Full Pine Script competitor; public strategy marketplace; public social network; 100+ drawing tools; every global exchange; every exotic chart type; institutional routing; white-label SDK; advanced public copy trading; public paid signal marketplace.,Stage 4 beta cohort successfully onboarded with no unresolved Critical/High defect.,"General commercial availability across Windows, web, iOS, Android for U.S. stocks/ETFs and selected options intelligence.",Stage 4; DS-019 commercialization; DS-021 security/device-trust; DS-023 reliability.,Windows;Web;iOS;Android,Customer,Billing defects; kill-switch reliability; regional commercial-restriction gaps.,approximately 18-30 months total,Low
Stage 6,Advanced Trading Expansion,"Incremental delivery of advanced trading capability after initial release (multi-account, automation maturity, advanced exits).",Multi-user workspaces; multi-account trading; delegated approvals; strategy-driven automated entries; advanced heatmaps/news features.,Still no public marketplace or institutional routing.,Stage 5 initial release stable in production.,Advanced trading/automation feature set delivered incrementally with no regression to Stage 5 safety guarantees.,Stage 5.,Windows;Web;iOS;Android,Customer,Automation maturity outpacing risk-engine validation coverage.,incremental delivery after initial release,Low
Stage 7,Platform and TradingView-Style Expansion,"Broaden charting/drawing/screener/platform capability toward closer TradingView-style parity, and add macOS/Linux if justified.",Multi-chart layouts; advanced drawing tools; scan scheduling; Level II/DOM/hotkeys; macOS/Linux packaging (if promoted).,Public marketplace still deferred.,Stage 6 advanced trading expansion underway.,TradingView-comparable charting/screening depth achieved for the platforms in active support.,"Stage 6; groundwork laid in Stage 0-1 (multi-chart layout model, drawing persistence, broader asset identifiers).",Windows;Web;macOS;Linux;iOS;Android,Customer,Feature sprawl diluting product focus.,approximately years 2-4,Low
Stage 8,Strategy Ecosystem and Private Collaboration,"Private collaboration, creator profiles, and strategy-ecosystem groundwork (still not a public marketplace).",Private teams; private collaboration; creator profiles; creator strategy versioning; verified performance.,Public marketplace and public copy trading remain excluded.,Stage 7 platform expansion mature.,"A verified, private strategy-sharing ecosystem operates safely.",Stage 7; DS-ECO family; verified-performance mechanism.,Windows;Web;iOS;Android,Customer,Unverified performance claims if verification mechanism is incomplete.,approximately years 3-5,Low
Stage 9,"Marketplace, Global, and Institutional Expansion","Long-range: public marketplace, global asset-class/regional expansion, institutional-grade features.",Public strategy marketplace; global asset classes (forex/futures/international equities/bonds); institutional routing (if ever pursued).,"Nothing pre-excluded at this horizon, but every item remains Decision Pending until re-evaluated.",Stage 8 ecosystem proven safe and valuable.,"N/A -- long-range, non-binding horizon.",Stage 8; marketplace ownership/versioning groundwork.,TBD,TBD,Institutional/marketplace scope could dilute the deterministic-safety-first product identity if not carefully governed.,"long-range, approximately year 5+",Low
