event_name,purpose,trigger,properties,privacy_classification,consent_requirement,retention,owning_service,owning_volume,release_stage,notes
landing_page_viewed,Measure marketing interest,User opens landing page,page_url;utm_source,Public,None,30 days,Web Analytics,DS-022,Stage 5 -- Initial Commercial Release,Landing page interest event.
waitlist_joined,Track early interest,User submits waitlist form,user_id;email_hash,Pseudonymous,Opt-in,180 days,Marketing Analytics,DS-022,Stage 5 -- Initial Commercial Release,Waitlist join event.
account_created,Measure onboarding,New account created,user_id;plan,Personal Identifiable,Consent,365 days,User Analytics,DS-022,Stage 5 -- Initial Commercial Release,Account creation event.
email_verified,Authentication milestone,User verifies email,user_id,Pseudonymous,None,365 days,Auth Analytics,DS-022,Stage 5 -- Initial Commercial Release,Email verification event.
onboarding_started,Measure activation,User begins onboarding,user_id;step,Pseudonymous,None,90 days,Onboarding Analytics,DS-022,Stage 5 -- Initial Commercial Release,Onboarding start event.
onboarding_completed,Measure success,User completes onboarding,user_id;duration,Pseudonymous,None,90 days,Onboarding Analytics,DS-022,Stage 5 -- Initial Commercial Release,Onboarding completed event.
risk_profile_completed,Measure readiness,User completes risk profile,user_id;completion_state;schema_version,Pseudonymous,Consent,365 days,Risk Analytics,DS-022,Stage 5 -- Initial Commercial Release,Risk profile completion event.
paper_broker_connected,Measure trading readiness,User connects paper broker,user_id;broker_type,Personal Identifiable,Consent,365 days,Integration Analytics,DS-022,Stage 5 -- Initial Commercial Release,Paper broker connection event.
first_watchlist_created,Measure engagement,User creates a watchlist,user_id;watchlist_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,First watchlist created event.
first_screener_run,Measure feature adoption,User runs a screener,user_id;screener_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Screener execution event.
first_trade_intelligence_package_viewed,Measure research usage,User views a trade intelligence package,user_id;package_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Trade intelligence package event.
first_paper_trade_proposed,Measure adoption,User proposes a paper trade,user_id;trade_id,Personal Identifiable,Consent,365 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,First paper trade proposed event.
first_paper_trade_approved,Measure decision outcomes,User approves a paper trade,user_id;trade_id,Personal Identifiable,Consent,365 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Trade approval event.
first_paper_trade_rejected,Measure decision outcomes,User rejects a paper trade,user_id;trade_id,Personal Identifiable,Consent,365 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Trade rejection event.
first_exit_plan_created,Measure risk management,User creates an exit plan,user_id;plan_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Exit plan event.
first_stop_loss_created,Measure risk protection usage,User sets a stop loss,user_id;trade_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Stop loss creation event.
first_take_profit_target_created,Measure profit-taking planning,User sets a take profit target,user_id;trade_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Take profit target event.
first_journal_entry_completed,Measure reflection practices,User completes a trading journal entry,user_id;entry_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Journal entry completion event.
first_morning_brief_viewed,Measure daily briefing adoption,User views morning brief,user_id;brief_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Morning brief viewed event.
first_needs_my_attention_resolved,Measure issue resolution,User resolves a needs-my-attention item,user_id;item_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Needs attention resolution event.
trial_started,Measure trial adoption,User begins trial,user_id;trial_id,Pseudonymous,None,90 days,Product Analytics,DS-022,Stage 5 -- Initial Commercial Release,Trial start event.
subscription_started,Measure conversion,User starts a subscription,user_id;plan,Personal Identifiable,Consent,365 days,Billing Analytics,DS-022,Stage 5 -- Initial Commercial Release,Subscription start event.
payment_failed,Measure payment reliability,Payment attempt failed,user_id;reason,Personal Identifiable,Consent,365 days,Billing Analytics,DS-022,Stage 5 -- Initial Commercial Release,Payment failure analytics event.
subscription_cancelled,Measure churn,User cancels subscription,user_id;reason,Personal Identifiable,Consent,365 days,Billing Analytics,DS-022,Stage 5 -- Initial Commercial Release,Subscription cancellation event.
data_export_requested,Measure data export usage,User requests data export,user_id;export_type,Pseudonymous,Consent,90 days,Privacy Analytics,DS-022,Stage 5 -- Initial Commercial Release,Data export request event.
account_deletion_requested,Measure account closure intent,User requests account deletion,user_id;reason,Personal Identifiable,Consent,365 days,Privacy Analytics,DS-022,Stage 5 -- Initial Commercial Release,Account deletion request event.
user_returned_after_7_days,Measure re-engagement,User returns after 7 days of inactivity,user_id;days_inactive,Pseudonymous,None,90 days,Engagement Analytics,DS-022,Stage 5 -- Initial Commercial Release,7-day return event.
user_returned_after_30_days,Measure re-engagement,User returns after 30 days of inactivity,user_id;days_inactive,Pseudonymous,None,90 days,Engagement Analytics,DS-022,Stage 5 -- Initial Commercial Release,30-day return event.
user_returned_after_90_days,Measure re-engagement,User returns after 90 days of inactivity,user_id;days_inactive,Pseudonymous,None,90 days,Engagement Analytics,DS-022,Stage 5 -- Initial Commercial Release,90-day return event.
