volume_id,title,publication_state,markdown_path,docx_path,pdf_path,metadata_verified,traceability_complete,controlled_ids_valid,acceptance_criteria_complete,independent_review_complete,independent_review_evidence,checksum_verified,release_manifest_entry,approved_by,approved_date,blocker,notes
DS-001,Executive Vision,Released,docs/codex/Volume-01-Foundation/DS-001-Executive-Vision.md,docs/publication/releases/DS-001.docx,docs/publication/releases/DS-001.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-002,Product SRS,Released,docs/codex/Volume-02-Product/DS-002-SRS.md,docs/publication/releases/DS-002.docx,docs/publication/releases/DS-002.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-003,Sage AI Bible,Released,docs/codex/Volume-03-Sage/DS-003-Sage-AI-Bible.md,docs/publication/releases/DS-003.docx,docs/publication/releases/DS-003.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-004,Technical Architecture,Released,docs/codex/Volume-04-Architecture/DS-004-Technical-Architecture.md,docs/publication/releases/DS-004.docx,docs/publication/releases/DS-004.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-005,Database Design,Released,docs/codex/Volume-05-Database/DS-005-Database-Design.md,docs/publication/releases/DS-005.docx,docs/publication/releases/DS-005.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-006,API Specification,Released,docs/codex/Volume-06-API/DS-006-API-Specification.md,docs/publication/releases/DS-006.docx,docs/publication/releases/DS-006.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-007,UI/UX Bible,Released,docs/codex/Volume-07-UX/DS-007-UI-UX-Bible.md,docs/publication/releases/DS-007.docx,docs/publication/releases/DS-007.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-008,Security Architecture,Released,docs/codex/Volume-08-Security/DS-008-Security-Architecture.md,docs/publication/releases/DS-008.docx,docs/publication/releases/DS-008.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-009,Testing and QA,Released,docs/codex/Volume-09-Testing/DS-009-Testing-and-QA.md,docs/publication/releases/DS-009.docx,docs/publication/releases/DS-009.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
DS-010,Development Standards,Released,docs/codex/Volume-10-Standards/DS-010-Development-Standards.md,docs/publication/releases/DS-010.docx,docs/publication/releases/DS-010.pdf,Yes,Yes,Yes,Yes,Yes,docs/publication/PUBLICATION_PROMOTION_RULES.md,Yes,docs/publication/PUBLICATION_MANIFEST.json,,,,Released Core volume remains unchanged; approval details are not recorded in this register.
