feature_id,feature_name,Founder,Customer,notes
FEAT-0001,Founder/Customer edition boundary,Yes,Yes,
FEAT-0002,Repository boundary and build exclusion,Yes,Yes,
FEAT-0003,Deterministic execution authority (core),Yes,Yes,
FEAT-0004,Complete Features System governance,N/A,N/A,Not an edition-bound feature (governance/documentation).
FEAT-0005,Account creation and authentication,Yes,Yes,
FEAT-0006,Onboarding flow,Yes,Yes,
FEAT-0007,Multi-factor authentication,Yes,Yes,
FEAT-0008,Device trust and revocation,Yes,Yes,
FEAT-0009,Real-time and historical quote/candle retrieval,Yes,Yes,
FEAT-0010,U.S. stocks and ETFs data coverage,Yes,Yes,
FEAT-0011,Selected options intelligence (data),Yes,Yes,
FEAT-0012,Crypto observation and paper trading (data),Yes,Yes,
FEAT-0013,Futures data coverage,Yes,Yes,
FEAT-0014,Forex data coverage,Yes,Yes,
FEAT-0015,International equities data coverage,Yes,Yes,
FEAT-0016,Bonds and fixed income data coverage,Yes,Yes,
FEAT-0017,Macroeconomic datasets,Yes,Yes,
FEAT-0018,On-chain data,Yes,Yes,
FEAT-0019,Broader asset identifier model,Yes,Yes,
FEAT-0020,Professional candlestick charts,Yes,Yes,
FEAT-0021,Indicator panes,Yes,Yes,
FEAT-0022,Saved chart layouts,Yes,Yes,
FEAT-0023,Chart templates,Yes,Yes,
FEAT-0024,Multi-chart layouts,Yes,Yes,
FEAT-0025,Synchronized symbols across charts,Yes,Yes,
FEAT-0026,Synchronized crosshairs,Yes,Yes,
FEAT-0027,Multi-monitor workspaces,Yes,Yes,
FEAT-0028,"Advanced chart types (Heikin-Ashi, Renko, etc.)",Yes,Yes,
FEAT-0029,Chart-layout synchronization (cloud),Yes,Yes,
FEAT-0030,Chart snapshots,Yes,Yes,
FEAT-0031,Chart-based order placement,Yes,Yes,
FEAT-0032,Draggable stops and targets,Yes,Yes,
FEAT-0033,Trend lines,Yes,Yes,
FEAT-0034,Horizontal and vertical levels,Yes,Yes,
FEAT-0035,Channels,Yes,Yes,
FEAT-0036,Fibonacci tools,Yes,Yes,
FEAT-0037,Support and resistance (drawing),Yes,Yes,
FEAT-0038,Anchored VWAP,Yes,Yes,
FEAT-0039,Risk/reward tools (drawing),Yes,Yes,
FEAT-0040,Long-position planner,Yes,Yes,
FEAT-0041,Short-position planner,Yes,Yes,
FEAT-0042,Notes and callouts,Yes,Yes,
FEAT-0043,Drawing templates,Yes,Yes,
FEAT-0044,Drawing locking and hiding,Yes,Yes,
FEAT-0045,Drawing synchronization (cloud),Yes,Yes,
FEAT-0046,Drawing-based alerts,Yes,Yes,
FEAT-0047,Drawing persistence architecture,Yes,Yes,
FEAT-0048,Multiple watchlists,Yes,Yes,
FEAT-0049,Grouped watchlists,Yes,Yes,
FEAT-0050,Color labels,Yes,Yes,
FEAT-0051,Smart watchlists,Yes,Yes,
FEAT-0052,Sage-generated watchlists,Yes,Yes,
FEAT-0053,Catalyst badges,Yes,Yes,
FEAT-0054,Earnings badges,Yes,Yes,
FEAT-0055,Broker synchronization (watchlist),Yes,Yes,
FEAT-0056,Watchlist import and export,Yes,Yes,
FEAT-0057,Watchlist-wide alerts,Yes,Yes,
FEAT-0058,Stock screener,Yes,Yes,
FEAT-0059,ETF screener,Yes,Yes,
FEAT-0060,Options screener,Yes,Yes,
FEAT-0061,Technical filters,Yes,Yes,
FEAT-0062,Fundamental filters,Yes,Yes,
FEAT-0063,Custom columns,Yes,Yes,
FEAT-0064,Saved screener templates,Yes,Yes,
FEAT-0065,Scan scheduling,Yes,Yes,
FEAT-0066,Scan history,Yes,Yes,
FEAT-0067,Strategy-based scans,Yes,Yes,
FEAT-0068,Screener export,Yes,Yes,
FEAT-0069,Future asset-class screening (forex/futures/crypto/bond/global equity),Yes,Yes,
FEAT-0070,Price alerts,Yes,Yes,
FEAT-0071,Indicator alerts,Yes,Yes,
FEAT-0072,Strategy alerts,Yes,Yes,
FEAT-0073,Drawing alerts,Yes,Yes,
FEAT-0074,Watchlist alerts,Yes,Yes,
FEAT-0075,Portfolio alerts,Yes,Yes,
FEAT-0076,Risk alerts,Yes,Yes,
FEAT-0077,Broker-state alerts,Yes,Yes,
FEAT-0078,Data-quality alerts,Yes,Yes,
FEAT-0079,Multi-condition alert builder,Yes,Yes,
FEAT-0080,Alert suppression,Yes,Yes,
FEAT-0081,Alert cooldowns,Yes,Yes,
FEAT-0082,Alert escalation,Yes,Yes,
FEAT-0083,Alert acknowledgement,Yes,Yes,
FEAT-0084,Alert history,Yes,Yes,
FEAT-0085,"Multi-channel alert delivery (mobile, desktop, email, notification)",Yes,Yes,
FEAT-0086,Discord notification delivery (notification-only),Yes,Yes,
FEAT-0087,Signed generic webhooks (future),Yes,Yes,
