feature_id,feature_name,depends_on_feature_id,depends_on_feature_name,dependency_type,notes
FEAT-0154,Fixed-price stops,FEAT-0150,Deterministic Risk Engine,requires,Every stop order is validated by the Risk Engine.
FEAT-0190,Approved deterministic exit plan requirement,FEAT-0150,Deterministic Risk Engine,requires,Exit-plan approval is itself a Risk Engine function.
FEAT-0190,Approved deterministic exit plan requirement,FEAT-0139,No arbitrary customer code in deterministic execution,invariant,The exit-plan check cannot be bypassed by customer code.
FEAT-0162,Trailing stops,FEAT-0154,Fixed-price stops,extends,Trailing behavior builds on the base stop-order model.
FEAT-0170,Broker-native bracket orders,FEAT-0191,Broker/execution integration (core),requires,Bracket orders route through the core execution integration.
FEAT-0172,DarkSage-managed protection,FEAT-0191,Broker/execution integration (core),requires,Software-managed protection still routes orders through the core integration.
FEAT-0206,Multi-account trading,FEAT-0150,Deterministic Risk Engine,requires,Every account's proposals are independently risk-validated.
FEAT-0185,Global kill switch,FEAT-0191,Broker/execution integration (core),requires,A kill switch must halt the actual order-submission path.
FEAT-0122,Founder Local Sage,FEAT-0001,Founder/Customer edition boundary,requires,Local Sage's privacy depends on the edition boundary holding.
FEAT-0123,Customer Cloud Sage,FEAT-0124,Sage bounded-agency behavioral contract,requires,Cloud Sage must honor the same behavioral limits as Local Sage.
FEAT-0052,Sage-generated watchlists,FEAT-0123,Customer Cloud Sage,requires,Requires a Sage deployment to generate from.
FEAT-0052,Sage-generated watchlists,FEAT-0051,Smart watchlists,extends,Builds on the smart/rule-based watchlist mechanism.
FEAT-0203,Strategy-driven automated entries,FEAT-0190,Approved deterministic exit plan requirement,requires,No automated entry without an approved exit plan.
FEAT-0132,Visual strategy builder,FEAT-0131,Restricted DarkSage strategy language,requires,The visual builder emits the same sandboxed language.
FEAT-0133,Indicator builder,FEAT-0131,Restricted DarkSage strategy language,requires,Custom indicators run in the same sandbox.
FEAT-0138,Strategy/indicator safety scanning,FEAT-0131,Restricted DarkSage strategy language,requires,Scanning enforces the sandbox boundary on authored content.
FEAT-0225,Public strategy marketplace (long-term backlog),FEAT-0224,Verified performance,requires,No unverified performance claim may be marketed.
