requirement_id,title,status,related_adr,source_paths,test_paths,release_or_change,notes
DS-PRD-001,Model Independence,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-002,Evidence Provenance,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-003,Presentation Independence,Committed / MVP,ADR-004,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-004,Deterministic Financial Truth,Committed / MVP,ADR-003,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-005,User Decision Authority,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-006,Risk Engine Authority,Committed / MVP,ADR-002,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-007,No Unapproved Autonomous Trading,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-008,"Data State Visibility (Freshness, Delay, History, Simulation)",Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-009,Uncertainty Communication,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
DS-PRD-010,Application Startup and Session Initialization,Committed / MVP,,Pending — implementation-neutral Codex; no exact source path cited,Pending — see requirement's own Testing field in docs/codex/Volume-02-Product/DS-002-SRS.md,Pending,Source: docs/codex/Volume-02-Product/DS-002-SRS.md
