feature_id,feature_name,category,summary,purpose,owner_volume,supporting_volumes,implementation_status,release_stage,priority,initial_release_required,groundwork_required_now,platform_availability,edition_availability,dependencies,risk_level,safety_classification,UX_location,API_or_service_owner,acceptance_summary,design_evidence,implementation_evidence,test_evidence,release_evidence,blocker,tentative_start_window,tentative_completion_window,timeline_confidence,release_history,replacement_feature,deprecation_notes
FEAT-0001,Founder/Customer edition boundary,01 Product foundation,Structural separation between the private Founder Edition and the commercially distributed Customer Edition.,Prevent any Founder-only asset from ever shipping inside a customer build.,DS-015,DS-004;DS-008,Designed,Stage 1 -- Local Technical Foundation,Critical,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,High,Deterministic-Authoritative,N/A (build/repository level),"Build pipeline (application build system, TBD)",No customer build artifact contains a Founder-tagged asset.,DS-015 skeleton Section 7.2 (Repository Boundary Model) and 7.3 (Build-Time Exclusion Mechanism),None,None,None -- not released,None,Now,Stage 1,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0002,Repository boundary and build exclusion,01 Product foundation,"Mechanism (build target, path exclusion, or submodule) that keeps Founder-only code out of customer artifacts.","Make the edition boundary mechanically enforced, not policy-only.",DS-015,DS-004,Planned,Stage 1 -- Local Technical Foundation,Critical,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,High,Deterministic-Authoritative,TBD,TBD,A customer build produced by the build pipeline contains zero files/assets tagged Founder-only; a CI check that scans a customer artifact for Founder-only markers fails the build if any are found.,DS-015 skeleton Section 7.3 (Build-Time Exclusion Mechanism); DS-015 Section 13 (Known Risks -- CI leak-scan mitigation),None,None,None -- not released,None,Stage 1,Stage 3,Low,Created in Product Expansion foundation pass (2026-07-25); Initial-release status repair (2026-07-26): reclassified Idea -> Planned. Reason: Repository/build exclusion is a hard prerequisite for any customer build to exist at all; must be Planned no later than Stage 1-3 groundwork so Stage 4/5 customer builds are provably Founder-asset-free.,,
FEAT-0003,Deterministic execution authority (core),01 Product foundation,The existing TradeValidationPipeline / Risk Engine authority already established in DS-004/DS-008/ADR-002.,Anchor every expansion feature to the same non-bypassable deterministic core.,DS-004,DS-008;DS-002,Designed,Stage 1 -- Local Technical Foundation,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,N/A,backend/app (TradeValidationPipeline),"No expansion feature can submit an order that bypasses the canonical TradeValidationPipeline once it is implemented; until then, this row tracks the design commitment only.",ARCHITECTURE.md Section 14 (Canonical Trade Validation Pipeline); ARCHITECTURE.md Section 17 (Risk Engine); ADR-002,"None -- backend/app/backtesting/validation and backend/app/backtesting/execution are backtest-simulation-only (see backend/app/backtesting/__init__.py docstring: ""Simulation only ... nothing here is, or feeds, a real broker/execution path""); no TradeValidationPipeline/RiskEngine implementation exists in backend/ yet.","None -- tests/test_backtest_validation.py tests walk-forward/date-partition validation for backtesting only, not the live deterministic execution pipeline.",None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0004,Complete Features System governance,01 Product foundation,"The feature catalog, registry, and matrices under docs/features/ that this foundation pass creates.","Give every current and future feature a single, machine-checkable source of truth.",DS-022,DS-015;DS-016;DS-019;DS-020;DS-021;DS-023,In Development,Stage 0 -- Codex and Architecture,High,No,Groundwork Required Now,N/A,N/A,,Medium,Informational,N/A (documentation/governance),N/A,Every feature has exactly one primary owner volume and a resolvable release stage.,docs/features/FEATURE_GOVERNANCE.md,None,None,None -- not released,None,Now,Stage 0,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0005,Account creation and authentication,02 User accounts and onboarding,"Customer account signup, login, and session management.","Give a customer a durable, secure identity for the Customer Edition.",DS-002,DS-021,Planned,Stage 4 -- Customer Cloud Beta,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,High,Deterministic-Authoritative,Web / mobile onboarding flow,"backend/app/api (auth, TBD)",No account can be created without verified contact information.,Not Yet Designed,None,None,None -- not released,None,Stage 4,Stage 5,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0006,Onboarding flow,02 User accounts and onboarding,"First-run guided setup: connect market data, paper account, first watchlist.",Reduce time-to-first-value for a new customer.,DS-022,DS-002,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,Desktop/web/mobile first-run wizard,TBD,A new user reaches a populated watchlist and paper account within one guided session.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0007,Multi-factor authentication,02 User accounts and onboarding,TOTP/hardware-key MFA for customer accounts.,Protect customer accounts commensurate with financial-data sensitivity.,DS-021,DS-002,Planned,Stage 4 -- Customer Cloud Beta,Critical,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,High,Deterministic-Authoritative,Account security settings,TBD,MFA is offered at signup and enforceable per account policy.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0008,Device trust and revocation,02 User accounts and onboarding,"Register, verify, and revoke trusted devices per account.",Contain account compromise to a single device.,DS-021,,Idea,Stage 4 -- Customer Cloud Beta,High,No,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,FEAT-0007,Medium,Deterministic-Authoritative,TBD,TBD,"A device can be registered, listed, and revoked by the account owner; a revoked device's existing session is invalidated within one refresh cycle.",Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0009,Real-time and historical quote/candle retrieval,03 Market data,Core market-data provider abstraction and ingestion.,"Feed every downstream feature (charts, scanner, backtesting) from one authoritative data path.",DS-002,DS-004,Tested,Stage 1 -- Local Technical Foundation,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Medium,Deterministic-Authoritative,TBD,backend/app/market_data,"A chart or scan requesting a symbol/timeframe receives data through the single provider-abstraction path, with a defined freshness SLA and an explicit stale-data signal when breached.",Not Yet Designed,backend/app/market_data (providers/),tests/test_market_data_freshness.py; tests/test_market_data_normalization.py; tests/test_market_data_provider_stooq.py; tests/test_market_data_rate_limit.py; tests/test_market_data_transport.py,None -- not released,None,Complete,Complete,High,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0010,U.S. stocks and ETFs data coverage,03 Market data,Asset-class data coverage for the initial release universe.,Cover the Stage 5 initial-release asset scope.,DS-002,,In Development,Stage 5 -- Initial Commercial Release,Critical,Yes,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Every symbol in the initial-release U.S. stock/ETF universe returns valid OHLC data through at least one configured provider.,Not Yet Designed,backend/app/market_data,tests/test_market_data_provider_stooq.py,None -- not released,None,TBD,TBD,Medium,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0011,Selected options intelligence (data),03 Market data,Options chain/greeks data sufficient for selected initial-release options intelligence.,Support the Stage 5 boundary's selected-options-intelligence commitment without full options-market parity.,DS-002,,Planned,Stage 5 -- Initial Commercial Release,High,Yes,Groundwork Required Now,Windows;Web;iOS;Android,Founder;Customer,,Medium,Deterministic-Authoritative,TBD,TBD,"Options chain and Greeks data is available for the selected initial-release symbol subset with a documented freshness SLA; unsupported symbols return an explicit not-covered state, never fabricated data.",Not Yet Designed,None,None,None -- not released,Options data provider not yet selected,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0012,Crypto observation and paper trading (data),03 Market data,Read-only/paper crypto market data.,Extend asset-class roadmap without live crypto execution risk at launch.,DS-002,,Future,Stage 6 -- Advanced Trading Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,Deterministic-Authoritative,TBD,TBD,Crypto data is observable and usable in paper trading; no live crypto order can be submitted through any code path at initial release.,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0013,Futures data coverage,03 Market data,Futures market data as a future asset class.,Long-term asset-class roadmap.,DS-002,,Future,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0014,Forex data coverage,03 Market data,Forex market data as a future asset class.,Long-term asset-class roadmap.,DS-002,,Future,Stage 7 -- Platform and TradingView-Style Expansion,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0015,International equities data coverage,03 Market data,Non-U.S. equity market data as a future asset class.,Long-term asset-class roadmap.,DS-002,,Future,Stage 8 -- Strategy Ecosystem and Private Collaboration,Low,No,Can Be Added Later Without Current Architectural Work,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
FEAT-0016,Bonds and fixed income data coverage,03 Market data,Fixed-income market data as a future asset class.,Long-term asset-class roadmap.,DS-002,,Idea,"Stage 9 -- Marketplace, Global, and Institutional Expansion",Low,No,Decision Pending,Windows;Web;iOS;Android,Founder;Customer,,Low,N/A,TBD,TBD,TBD -- requirement not yet fully drafted,Not Yet Designed,None,None,None -- not released,None,TBD,TBD,Low,Created in Product Expansion foundation pass (2026-07-25),,
