feature_id,feature_name,Windows,macOS,Linux,Web,iOS,Android,notes
FEAT-0001,Founder/Customer edition boundary,Yes,No,No,Yes,Yes,Yes,
FEAT-0002,Repository boundary and build exclusion,Yes,No,No,Yes,Yes,Yes,
FEAT-0003,Deterministic execution authority (core),Yes,No,No,Yes,Yes,Yes,
FEAT-0004,Complete Features System governance,N/A,N/A,N/A,N/A,N/A,N/A,Not a platform-bound feature (governance/documentation).
FEAT-0005,Account creation and authentication,Yes,No,No,Yes,Yes,Yes,
FEAT-0006,Onboarding flow,Yes,No,No,Yes,Yes,Yes,
FEAT-0007,Multi-factor authentication,Yes,No,No,Yes,Yes,Yes,
FEAT-0008,Device trust and revocation,Yes,No,No,Yes,Yes,Yes,
FEAT-0009,Real-time and historical quote/candle retrieval,Yes,No,No,Yes,Yes,Yes,
FEAT-0010,U.S. stocks and ETFs data coverage,Yes,No,No,Yes,Yes,Yes,
FEAT-0011,Selected options intelligence (data),Yes,No,No,Yes,Yes,Yes,
FEAT-0012,Crypto observation and paper trading (data),Yes,No,No,Yes,Yes,Yes,
FEAT-0013,Futures data coverage,Yes,No,No,Yes,Yes,Yes,
FEAT-0014,Forex data coverage,Yes,No,No,Yes,Yes,Yes,
FEAT-0015,International equities data coverage,Yes,No,No,Yes,Yes,Yes,
FEAT-0016,Bonds and fixed income data coverage,Yes,No,No,Yes,Yes,Yes,
FEAT-0017,Macroeconomic datasets,Yes,No,No,Yes,Yes,Yes,
FEAT-0018,On-chain data,Yes,No,No,Yes,Yes,Yes,
FEAT-0019,Broader asset identifier model,Yes,No,No,Yes,Yes,Yes,
FEAT-0020,Professional candlestick charts,Yes,No,No,Yes,Yes,Yes,
FEAT-0021,Indicator panes,Yes,No,No,Yes,Yes,Yes,
FEAT-0022,Saved chart layouts,Yes,No,No,Yes,Yes,Yes,
FEAT-0023,Chart templates,Yes,No,No,Yes,Yes,Yes,
FEAT-0024,Multi-chart layouts,Yes,No,No,Yes,Yes,Yes,
FEAT-0025,Synchronized symbols across charts,Yes,No,No,Yes,Yes,Yes,
FEAT-0026,Synchronized crosshairs,Yes,No,No,Yes,Yes,Yes,
FEAT-0027,Multi-monitor workspaces,Yes,No,No,No,No,No,
FEAT-0028,"Advanced chart types (Heikin-Ashi, Renko, etc.)",Yes,No,No,Yes,Yes,Yes,
FEAT-0029,Chart-layout synchronization (cloud),Yes,No,No,Yes,Yes,Yes,
FEAT-0030,Chart snapshots,Yes,No,No,Yes,Yes,Yes,
FEAT-0031,Chart-based order placement,Yes,No,No,Yes,Yes,Yes,
FEAT-0032,Draggable stops and targets,Yes,No,No,Yes,Yes,Yes,
FEAT-0033,Trend lines,Yes,No,No,Yes,Yes,Yes,
FEAT-0034,Horizontal and vertical levels,Yes,No,No,Yes,Yes,Yes,
FEAT-0035,Channels,Yes,No,No,Yes,Yes,Yes,
FEAT-0036,Fibonacci tools,Yes,No,No,Yes,Yes,Yes,
FEAT-0037,Support and resistance (drawing),Yes,No,No,Yes,Yes,Yes,
FEAT-0038,Anchored VWAP,Yes,No,No,Yes,Yes,Yes,
FEAT-0039,Risk/reward tools (drawing),Yes,No,No,Yes,Yes,Yes,
FEAT-0040,Long-position planner,Yes,No,No,Yes,Yes,Yes,
FEAT-0041,Short-position planner,Yes,No,No,Yes,Yes,Yes,
FEAT-0042,Notes and callouts,Yes,No,No,Yes,Yes,Yes,
FEAT-0043,Drawing templates,Yes,No,No,Yes,Yes,Yes,
