launch_item_id,name,description,category,owner_volume,supporting_volumes,release_stage,applicable_gate,blocking_severity,implementation_status,evidence_required,evidence_location,verification_method,approver_role,last_verified_date,dependency_items,rollback_required,customer_impact,security_impact,legal_review_required,notes
LAUNCH-0001,Launch Gate System,Structured launch gate and readiness decision matrix.,Launch Readiness,DS-023,DS-019;DS-022,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,High,Planned,Yes,docs/launch/LAUNCH_GATE_MATRIX.csv,Gate check documentation,Launch Steering Committee,,LAUNCH-0002;LAUNCH-0008;LAUNCH-0003,Yes,High,High,Yes,Core launch asset for readiness decision-making.
LAUNCH-0002,Founder Alpha Readiness,Founder-only internal milestone for private testing and safety validation.,Launch Readiness,DS-018,DS-015;DS-021,Stage 3 -- Founder Workstation Beta,Founder Alpha Readiness,Medium,Planned,Yes,docs/launch/BETA_READINESS_CHECKLIST.md,Checklist completion,Founder Alpha Sponsor,,,Yes,Founder-only,High,No,Private Founder testing boundary.
LAUNCH-0008,Founder Beta Readiness,Founder-only milestone for private beta validation and handoff readiness.,Launch Readiness,DS-018,DS-015;DS-021,Stage 3 -- Founder Workstation Beta,Founder Beta Readiness,Medium,Planned,Yes,docs/launch/BETA_READINESS_CHECKLIST.md,Checklist completion,Founder Beta Sponsor,,LAUNCH-0002,Yes,Founder-only,High,No,Private Founder beta boundary before customer beta.
LAUNCH-0003,Customer Beta Readiness,Customer-facing beta deployment and qualification readiness.,Launch Readiness,DS-022,DS-019;DS-023,Stage 4 -- Customer Cloud Beta,Customer Beta Readiness,High,Planned,Yes,docs/launch/BETA_READINESS_CHECKLIST.md,Participant readiness,Customer Beta Sponsor,,LAUNCH-0008,Yes,Medium,Medium,Yes,Requires customer consent and policy readiness.
LAUNCH-0004,Live-Trading Pilot Readiness,Readiness for a limited live-trading pilot under controlled conditions.,Launch Readiness,DS-023,DS-019;DS-021,Stage 4 -- Customer Cloud Beta,Live-Trading Pilot Readiness,Critical,Planned,Yes,docs/launch/COMMERCIAL_RELEASE_CHECKLIST.md,Pilot readiness review,Live Trading Review Board,,LAUNCH-0003,Yes,High,Very High,Yes,Requires explicit broker and risk safety gating with deterministic and reconciliation evidence.
LAUNCH-0009,Billing and Subscription Readiness,Payment and entitlement test coverage is defined and verified.,Launch Readiness,DS-019,DS-023,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,High,Planned,Yes,docs/launch/BILLING_TEST_MATRIX.csv,Test matrix review,Billing Operations,,,Yes,High,High,Yes,Billing and entitlement readiness evidence for commercial release.
LAUNCH-0010,Legal and Policy Readiness,Legal and customer-disclosure artifacts are drafted and tracked.,Launch Readiness,DS-021,DS-019,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,High,Planned,Yes,docs/launch/LEGAL_AND_POLICY_ARTIFACT_REGISTER.csv,Legal register review,Legal Counsel,,,Yes,High,High,Yes,Legal and policy readiness evidence for commercial release.
LAUNCH-0011,Support Operations Readiness,"Support severity, escalation, incident, and recovery processes are documented.",Launch Readiness,DS-023,DS-022,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,High,Planned,Yes,docs/launch/SUPPORT_OPERATIONS_PLAN.md,Plan review,Operations Lead,,,Yes,High,High,Yes,Support operations readiness evidence for commercial release.
LAUNCH-0012,Customer Communication Readiness,"Waitlist, early-access, and customer messaging flows are defined.",Launch Readiness,DS-022,DS-019,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,High,Planned,Yes,docs/launch/BETA_READINESS_CHECKLIST.md,Communications review,Launch Communications,,,Yes,Medium,Medium,Yes,Customer communication readiness evidence for commercial release.
LAUNCH-0013,Rollback and Recovery Readiness,Rollback runbook and known-good recovery procedures are documented.,Launch Operations,DS-023,DS-019;DS-021,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,Critical,Planned,Yes,docs/launch/RELEASE_ROLLBACK_RUNBOOK.md,Runbook review,Operations Lead,,,Yes,High,High,Yes,Rollback readiness evidence for commercial release.
LAUNCH-0005,Commercial Release Readiness,Validated commercial release readiness including billing and operations.,Launch Readiness,DS-019,DS-023,Stage 5 -- Initial Commercial Release,Commercial Release Readiness,Critical,Planned,Yes,docs/launch/COMMERCIAL_RELEASE_CHECKLIST.md,Release readiness audit,Commercial Release Sponsor,,LAUNCH-0003;LAUNCH-0004;LAUNCH-0009;LAUNCH-0010;LAUNCH-0011;LAUNCH-0012;LAUNCH-0013,Yes,High,High,Yes,Includes legal, billing, customer communications, and rollback readiness.
LAUNCH-0006,Launch-Day Go/No-Go,Final launch day decision gate with rollback and monitoring readiness.,Launch Operations,DS-023,DS-019;DS-021,Stage 5 -- Initial Commercial Release,Launch-Day Go/No-Go,Critical,Planned,Yes,docs/launch/LAUNCH_DAY_RUNBOOK.md,Runbook verification,Launch Director,,LAUNCH-0005,Yes,High,High,Yes,Defines final authority and conditions for launch day.
LAUNCH-0007,Post-Launch Stabilization Exit,Post-launch stabilization and continued operation review.,Launch Operations,DS-023,DS-022,Stage 6 -- Advanced Trading Expansion,Post-Launch Stabilization Exit,Medium,Planned,Yes,docs/launch/POST_LAUNCH_90_DAY_PLAN.md,90-day checkpoint review,Operations Owner,,LAUNCH-0006,Yes,Medium,Medium,Yes,Defines criteria for exiting launch stabilization.
